feature,importance
EXT_SOURCE_1,505
EXT_SOURCE_2,450
EXT_SOURCE_3,440
AMT_ANNUITY,247
CREDIT_TO_GOODS,247
AMT_GOODS_PRICE,229
AGE_YEARS,223
DAYS_BIRTH,211
AMT_CREDIT,188
LATEST_CREDIT_DAYS,187
EARLY_INSTALMENT_COUNT,161
CREDIT_PER_PERSON,154
AVERAGE_DEBT_SUM,152
TOTAL_INSTALMENT_PAID_AMOUNT,151
POS_RECENT_AVG_FUTURE_INSTALMENT_COUNT,149
CODE_GENDER,148
POS_CUSTOMER_HISTORY_SPAN_MONTHS,146
EMPLOYMENT_TO_AGE,144
DAYS_EMPLOYED,144
ANNUITY_TO_INCOME,139
LOAN_TO_INCOME,138
LATE_INSTALMENT_RATE,137
MAX_OVERDUE_AMOUNT,136
PREV_AVG_ANNUITY,134
ANNUITY_PER_PERSON,126
PREV_REFUSED_RATE,123
REGION_POPULATION_RELATIVE,122
ID_PUBLISH_YEARS,113
TOTAL_DEBT_SUM,111
DAYS_ID_PUBLISH,111
POS_RECENT_MAX_FUTURE_INSTALMENT_COUNT,110
AVG_LATE_PAYMENT_DAYS,109
POS_CUSTOMER_MOST_RECENT_MONTH,107
PREV_AVG_PAYMENT_COUNT,106
PREV_AVG_CREDIT_APPLICATION_RATIO,105
EMPLOYMENT_YEARS,104
CC_TOTAL_LATEST_UTILIZATION_RATIO,102
AVERAGE_CREDIT_DAYS,102
POS_RECENT_AVG_PROGRESS_RATIO,101
AVERAGE_CREDIT_SUM,99
MAX_CREDIT_SUM,99
NAME_EDUCATION_TYPE,97
POS_AVG_FUTURE_INSTALMENT_COUNT,97
NAME_FAMILY_STATUS,95
DAYS_LAST_PHONE_CHANGE,95
ACTIVE_CREDIT_COUNT,94
RECENT_AVG_LATE_PAYMENT_DAYS,94
TOTAL_CREDIT_SUM,92
CC_RECENT_MAX_UTILIZATION_RATIO,90
POS_TOTAL_FUTURE_INSTALMENT_COUNT,89
DAYS_REGISTRATION,86
EARLY_INSTALMENT_RATE,84
TOTAL_INSTALMENT_DUE_AMOUNT,84
ORGANIZATION_TYPE,83
REGION_RATING_CLIENT_W_CITY,82
LATEST_CREDIT_UPDATE_DAYS,82
OWN_CAR_AGE,81
PREV_MAX_CREDIT_APPLICATION_RATIO,79
PREV_MIN_CREDIT_APPLICATION_RATIO,75
PREV_MIN_CREDIT_APPLICATION_DIFF,75
TOTAL_CREDIT_LIMIT,74
AVERAGE_CREDIT_UPDATE_DAYS,74
OLDEST_CREDIT_DAYS,71
OWN_CAR_AGE_MISSING,70
MAX_EARLY_PAYMENT_DAYS,69
AVG_EARLY_PAYMENT_DAYS,68
RECENT_MAX_LATE_PAYMENT_DAYS,67
PREV_AVG_CREDIT_GOODS_RATIO,65
CLOSED_CREDIT_COUNT,65
PREV_AVG_DECISION_DAYS,65
PHONE_CHANGE_YEARS,63
RECENT_LATE_INSTALMENT_RATE,63
REGISTRATION_YEARS,62
POS_RECENT_ACTIVE_MONTH_COUNT,61
POS_TOTAL_HISTORY_MONTH_COUNT,59
OCCUPATION_TYPE,59
PREV_AVG_ANNUITY_CREDIT_RATIO,58
AVG_INSTALMENT_PAID_AMOUNT,58
BB_AVG_NORMAL_MONTH_RATIO,57
EXT_SOURCE_1_MISSING,56
POS_AVG_LOAN_DPD_DEF,55
PREV_AVG_DOWN_PAYMENT,54
PREV_LATEST_DECISION_DAYS,53
RECENT_TOTAL_PAID_AMOUNT,52
PREV_MAX_DOWN_PAYMENT,52
REMAINING_INCOME,52
PREV_MAX_ANNUITY,52
POS_AVG_HISTORY_MONTH_COUNT,52
PREV_AVG_CREDIT_APPLICATION_DIFF,51
MORTGAGE_COUNT,51
PREV_MAX_PAYMENT_COUNT,50
MICROLOAN_COUNT,49
PREV_MAX_CREDIT_GOODS_RATIO,49
NAME_INCOME_TYPE,48
FLAG_DOCUMENT_3,48
FLAG_WORK_PHONE,47
OVERPAID_INSTALMENT_RATE,47
PREV_DECISION_HISTORY_SPAN,47
HOUR_APPR_PROCESS_START,46
PREV_AVG_DOWN_PAYMENT_RATE,46
DEF_30_CNT_SOCIAL_CIRCLE,46
PREV_MAX_DOWN_PAYMENT_RATE,45
POS_RECENT_MONTH_COUNT,44
AVG_PAYMENT_COUNT_PER_INSTALMENT,44
YEARS_BEGINEXPLUATATION_MODE,44
RECENT_TOTAL_DUE_AMOUNT,43
AMT_INCOME_TOTAL,43
OVERPAID_INSTALMENT_COUNT,43
INSTALMENT_COUNT,43
CC_RECENT_TOTAL_ATM_DRAWINGS_AMOUNT,43
TOTAL_OVERDUE_SUM,43
INCOME_PER_PERSON,42
PREV_DAYS_SINCE_LATEST_APPLICATION,41
PREV_APPROVED_RATE,40
CREDIT_CARD_COUNT,40
TOTALAREA_MODE,40
POS_CUSTOMER_EARLIEST_MONTH,39
FLAG_DOCUMENT_18,38
AMT_REQ_CREDIT_BUREAU_QRT,38
AVG_INSTALMENT_DUE_AMOUNT,37
